,htid,title,author,title_htrc,date,pub_date_htrc
291,uc1.b3884191,Man Plus,"Pohl, Frederik","Man plus/Pohl, Frederik.",1976,1976
292,None,Mindbridge,"Haldeman, Joe",,1976,
293,mdp.39015046878727,Patternmaster,"Butler, Octavia E,","Patternmaster/Butler, Octavia E.",1976,1976
294,,Shadrach in the Furnace,"Silverberg, Robert",,1976,
295,uc1.32106008842756,Triton,"Delany, Samuel R.","Triton/Delany, Samuel R.",1976,1976
296,mdp.39015002662453,Where Late the Sweet Birds Sang,"Wilhelm, Kate","Where late the sweet birds sang/Wilhelm, Kate.",1976,1976
297,mdp.39015000244577,Woman on the edge of time,"Piercy, Marge,","Woman on the edge of time/Piercy, Marge.",1976,1976
298,uc1.32106018973146,A scanner darkly,"Dick, Philip K,","A scanner darkly/Dick, Philip K",1977,1991
299,uc1.b4430797,Cirque,"Carr, Terry","Cirque/Carr, Terry.",1977,1977
300,mdp.39015013260727,Dying of the Light,"Martin, George R. R.","Dying of the light/Martin, George R. R.",1977,1977
301,inu.39000002610124,Gateway,"Pohl, Frederik","Gateway/Pohl, Frederik.",1977,1977
302,uc1.32106002161021,In the Ocean of Night,"Benford, Gregory","In the ocean of night/Benford, Gregory,",1977,1977
303,,Lucifer's Hammer,"Niven, Larry, Pournelle, Jerry",,1977,
304,,Moonstar Odyssey,"Gerrold, David",,1977,
305,,Our lady of darkness,"Leiber, Fritz,",,1977,
306,mdp.39015056801965,Sword of The Demon,"Lupoff, Richard A.","Sword of the demon/Lupoff, Richard A.,",1977,1976
307,mdp.39015005343515,The Forbidden Tower,"Bradley, Marion Zimmer","The forbidden tower/Bradley, Marion Zimmer.",1977,1979
308,,The end of the matter,"Foster, Alan Dean,",,1977,
309,mdp.39015008437959,The power that preserves,"Donaldson, Stephen R,","The power that preserves/Donaldson, Stephen R.",1977,1977
310,,Time Storm,"Dickson, Gordon R.",,1977,
311,mdp.39015056818126,Blind Voices,"Reamy, Tom","Blind voices/Reamy, Tom.",1978,1978
312,inu.30000104227065,Colony,"Bova, Ben,","Colony/Bova, Ben,",1978,1978
313,uc1.b4951323,Dreamsnake,"McIntyre, Vonda N.","Dreamsnake/McIntyre, Vonda N",1978,1994
314,mdp.39015005516904,Kalki,"Vidal, Gore","Kalki/Vidal, Gore,",1978,1978
315,None,Shallows of night,"Lustbader, Eric,",,1978,
316,uc1.b3862874,Strangers,"Dozois, Gardner","Strangers/Dozois, Gardner R.",1978,1978
317,,The Faded Sun: Kesrith,"Cherryh, C. J.",,1978,
318,mdp.39015028704974,The White Dragon,"McCaffrey, Anne","The white dragon/McCaffrey, Anne.",1978,1978
319,,A wizard in Bedlam,"Stasheff, Christopher,",,1979,
320,mdp.39015002719980,Alongside night,"Schulman, J. Neil 1953-  ","Alongside night/Schulman, J. Neil (Joseph Neil),",1979,1979
321,pst.000018854527,Harpist in the Wind,"McKillip, Patricia A.","Harpist in the wind/McKillip, Patricia A.",1979,1980
322,,Jem,"Pohl, Frederik",,1979,
323,mdp.39015000684780,Juniper Time,"Wilhelm, Kate","Juniper time/Wilhelm, Kate.",1979,1979
324,uc1.b4951776,Macrolife,"Zebrowski, George,","Macrolife/Zebrowski, George,",1979,1979
325,mdp.39015058799936,Masters of Everon,"Dickson, Gordon R,","Masters of Everon/Dickson, Gordon R.",1979,1979
326,uc1.b4951772,On Wings of Song,"Disch, Thomas","On wings of song/Disch, Thomas M.",1979,1979
327,mdp.39015054075612,The Fountains of Paradise,"Clarke, Arthur C.","The fountains of Paradise/Clarke, Arthur C. (Arthur Charles),",1979,1979
328,mdp.39015052543298,The Road to Corlay,"Cowper, Richard","The road to Corlay/Cowper, Richard,",1979,1978
329,None,The dead zone,"King, Stephen,",,1979,
330,mdp.39015011815134,Titan,"Varley, John","Titan/Varley, John,",1979,1984
331,uc1.32106015587949,The Hitchhiker's Guide to The Galaxy,"Douglas, Adams",,1979,1980
332,mdp.49015002982867,Beyond the Blue Event Horizon,"Pohl, Frederik","Beyond the blue event horizon/Pohl, Frederik.",1980,1980
333,mdp.39015020711092,Lord Valentine's Castle,"Silverberg, Robert","Lord Valentine's castle/Silverberg, Robert.",1980,1980
334,uc1.32106005000564,Mockingbird,"Tevis, Walter, Stewart, Sean","Mockingbird/Tevis, Walter S.",1980,1980
335,,The Orphan,"Stallman, Robert",,1980,
336,inu.39000001892806,The Ringworld Engineers,"Niven, Larry","The Ringworld engineers/Niven, Larry.",1980,1980
337,mdp.39015008979778,The Shadow of the Torturer,"Wolfe, Gene","The shadow of the torturer/Wolfe, Gene.",1980,1980
338,mdp.39015005184638,The Snow Queen,"Vinge, Joan D.","The snow queen/Vinge, Joan D.",1980,1980
339,None,The last President,"Kurland, Michael,",,1980,
340,uc1.32106009996627,Timescape,"Benford, Gregory","Timescape/Benford, Gregory,",1980,1980
341,uc1.32106009095875,Wizard,"Varley, John","Wizard/Varley, John,",1980,1980
342,mdp.39015007015038,Downbelow Station,"Cherryh, C. J.","Downbelow station/Cherryh, C. J.",1981,1981
343,mdp.39015007050514,Dream Park,"Niven, Larry,","Dream Park/Niven, Larry.",1981,1981
344,mdp.39015006579224,"Little, Big","Crowley, John","Little, big/Crowley, John,",1981,1983
345,mdp.39015006577814,Oath of fealty,"Niven, Larry,","Oath of fealty/Niven, Larry.",1981,1982
346,uc1.b3860560,Project Pope,"Simak, Clifford D.","Project Pope/Simak, Clifford D.,",1981,1981
347,,Radix,"Attanasio, A. A.",,1981,
348,mdp.39015002968892,Riddley Walker,"Hoban, Russell","Riddley Walker/Hoban, Russell.",1981,1980
349,mdp.49015000753567,The Claw of the Conciliator,"Wolfe, Gene","The claw of the conciliator/Wolfe, Gene.",1981,1981
350,,The Klingon gambit,"Vardeman, Robert E,",,1981,
351,,The Vampire Tapestry,"Charnas, Suzy McKee",,1981,
352,,The entropy effect,"McIntyre, Vonda N,",,1981,
353,mdp.49015000719303,The many-colored land,"May, Julian,","The many-colored land/May, Julian.",1981,1981
354,,2010: Odyssey Two,"Clarke, Arthur C.",,1982,
355,,Battlefield earth,"Hubbard, L. Ron,",,1982,
356,,Channel's destiny,"Lorrah, Jean,",,1982,
357,mdp.39015005888105,Courtship Rite,"Kingsbury, Donald","Courtship rite/Kingsbury, Donald,",1982,1983
358,mdp.39015007068235,Foundation's Edge,"Asimov, Isaac","Foundation's edge/Asimov, Isaac,",1982,1982
359,,Friday,"Heinlein, Robert A.",,1982,
360,uc1.32106018261096,Helliconia Spring,"Aldiss, Brian","Helliconia spring/Aldiss, Brian Wilson,",1982,1982
361,pst.000021808838,No enemy but time,"Bishop, Michael,","No enemy but time/Bishop, Michael.",1982,1982
362,mdp.39015019434276,The Pride of Chanur,"Cherryh, C. J.","The pride of Chanur/Cherryh, C. J.",1982,1987
363,None,The Sword of the Lictor,"Wolfe, Gene",,1982,
364,,The Transmigration of Timothy Archer,"Dick, Philip K.",,1982,
365,mdp.39015004265453,Against Infinity,"Benford, Gregory","Against infinity/Benford, Gregory,",1983,1983
366,pst.000021759024,For love of mother-not,"Foster, Alan Dean,","For love of mother-not/Foster, Alan Dean,",1983,1993
367,mdp.39015005688661,Lyonesse,"Vance, Jack","Lyonesse/Vance, Jack,",1983,1983
368,mdp.39015005389245,Millennium,"Varley, John","Millennium/Varley, John,",1983,1983
369,,Moreta: Dragonlady of Pern,"McCaffrey, Anne",,1983,
370,inu.39000013061622,Startide Rising,"Brin, David","Startide rising/Brin, David.",1983,1985
371,,Tea with the Black Dragon,"MacAvoy, R. A.",,1983,
372,mdp.39015005310704,The Citadel of the Autarch,"Wolfe, Gene","The citadel of the autarch/Wolfe, Gene.",1983,1983
373,,The Robots of Dawn,"Asimov, Isaac",,1983,
374,uc1.b4950843,The Void Captain's Tale,"Spinrad, Norman","The Void Captain's tale/Spinrad, Norman",1983,1983
375,mdp.39015019481624,The nonborn king,"May, Julian,","The nonborn king ; The adversary/May, Julian.",1983,1984
376,None,Chanur's venture,"Cherryh, C. J,",,1984,
377,mdp.39015019407355,Emergence,"Palmer, David R.","Emergence/Palmer, David R.",1984,1990
378,,Frontera,"Shiner, Lewis",,1984,
379,uc1.32106010566989,Job: A Comedy of Justice,"Heinlein, Robert A.","Job, a comedy of justice/(Robert Anson), Heinlein, Robert A.",1984,1984
380,pst.000022355218,Neuromancer,"Gibson, William","Neuromancer/Gibson, William,",1984,1986
381,mdp.39015008096565,The Integral Trees,"Niven, Larry","The integral trees/Niven, Larry.",1984,1984
382,,The Man Who Melted,"Dann, Jack",,1984,
383,mdp.39015019815037,The Peace War,"Vinge, Vernor","The peace war/Vinge, Vernor.",1984,1984
384,mdp.39015020750835,The Wild Shore,"Robinson, Kim Stanley","The wild shore/Robinson, Kim Stanley.",1984,1984
385,,Artifact,"Benford, Gregory,",,1985,
386,mdp.39015019395782,Blood Music,"Bear, Greg","Blood music/Bear, Greg,",1985,1985
387,,Cuckoo's Egg,"Cherryh, C. J.",,1985,
388,,Dinner at Deviant's Palace,"Powers, Tim",,1985,
389,mdp.39015055883048,Ender's Game,"Card, Orson Scott","Ender's game/Card, Orson Scott.",1985,1991
390,,Footfall,"Niven, Larry, Pournelle, Jerry",,1985,
391,uc1.b3739771,Helliconia Winter,"Aldiss, Brian","Helliconia winter/Aldiss, Brian Wilson,",1985,1985
392,mdp.39015041007413,Schismatrix,"Sterling, Bruce","Schismatrix plus/Sterling, Bruce.",1985,1996
393,mdp.39015021474286,The Postman,"Brin, David","The postman/Brin, David.",1985,1985
394,None,The Remaking of Sigmund Freud,"Malzberg, Barry N.",,1985,
395,,The nick of time,"Effinger, George Alec,",,1985,
396,,Black Genesis,"Hubbard, L. Ron",,1986,
397,,Count Zero,"Gibson, William",,1986,
398,,Free Live Free,"Wolfe, Gene",,1986,
399,mdp.39015008563424,Into the out of,"Foster, Alan Dean,","The Tar-Aiym Krang/Foster, Alan Dean,",1986,1972
400,,Marooned in Realtime,"Vinge, Vernor",,1986,
401,,Speaker for the Dead,"Card, Orson Scott",,1986,
402,pst.000013408435,The Handmaid's Tale,"Atwood, Margaret","The handmaid's tale/Atwood, Margaret,",1986,1986
403,,The Journal of Nicholas the American,"Kennedy, Leigh",,1986,
404,,The Ragged Astronauts,"Shaw, Bob",,1986,
405,,The forever man,"Dickson, Gordon R,",,1986,
406,pst.000015473615,This is the Way the World Ends,"Morrow, James K.","This is the way the world ends/Morrow, James,",1986,1989
407,,Seventh Son,"Card, Orson Scott",,1987,
408,,Soldier of the Mist,"Wolfe, Gene",,1987,
409,,Strangers from the sky,"Bonanno, Margaret Wander,",,1987,
410,,The Falling Woman,"Murphy, Pat",,1987,
411,,The Forge of God,"Bear, Greg",,1987,
412,,The Uplift War,"Brin, David",,1987,
413,,The Urth of the New Sun,"Wolfe, Gene",,1987,
414,,Vergil in Averno,"Davidson, Avram",,1987,
415,,Voice of the whirlwind,"Williams, Walter Jon,",,1987,
416,pst.000061659551,When Gravity Fails,"Effinger, George Alec","When gravity fails/Effinger, George Alec.",1987,1988
417,,Cyteen,"Cherryh, C. J.",,1988,
418,,Deserted Cities of the Heart,"Shiner, Lewis",,1988,
419,None,Drowning Towers,"Turner, George",,1988,
420,uc1.32106016538131,Falling Free,"Bujold, Lois McMaster","Falling free/Bujold, Lois McMaster",1988,1988
421,mdp.39015019595399,Great Sky River,"Benford, Gregory","Great sky river/Benford, Gregory,",1988,1988
422,pst.000019919287,Islands in the Net,"Sterling, Bruce","Islands in the net/Sterling, Bruce.",1988,1989
423,mdp.39015025155139,Mona Lisa Overdrive,"Gibson, William","Mona Lisa overdrive/Gibson, William,",1988,1989
424,,Not for glory,"Rosenberg, Joel,",,1988,
425,,Red Prophet,"Card, Orson Scott",,1988,
426,,Wheel of the winds,"Engh, M. J,",,1988,
427,,A Fire in the Sun,"Effinger, George Alec",,1989,
428,,Farewell horizontal,"Jeter, K. W,",,1989,
429,,Good News From Outer Space,"Kessel, John",,1989,
430,uc1.32106010337274,Grass,"Tepper, Sheri S.","Grass/Tepper, Sheri S.",1989,1990
431,pst.000026189895,Hyperion,"Simmons, Dan","Hyperion cantos/Simmons, Dan.",1989,1990
432,,Ivory: A Legend of Past and Future,"Resnick, Mike",,1989,
433,wu.89081609992,Mutation,"Cook, Robin,","Recombination studies of mutations affecting lactose fermentation in Escherichia coli K-12/Cook, Ann.",1989,1959
434,,Power hungry,"Weinstein, Howard,",,1989,
435,None,Prentice Alvin,"Card, Orson Scott",,1989,
436,,"Sister Light, Sister Dark","Yolen, Jane",,1989,
437,mdp.49015001053280,TekWar,"Shatner, William,","TekWar/Shatner, William.",1989,1990
438,,The Boat of a Million Years,"Anderson, Poul",,1989,
439,uc1.b4361892,The Healer's War,"Scarborough, Elizabeth Ann","The healer's war/Scarborough, Elizabeth Ann.",1989,1988
440,,The stress of her regard,"Powers, Tim,",,1989,
441,,Earth,"Brin, David",,1990,
442,mdp.39015015177796,Mary Reilly,"Martin, Valerie","Mary Reilly/Martin, Valerie,",1990,1990
443,mdp.39015018454788,Only Begotten Daughter,"Morrow, James K.","Only begotten daughter/Morrow, James,",1990,1990
444,mdp.39015024891734,Pegasus in flight,"McCaffrey, Anne,","Pegasus in flight/McCaffrey, Anne.",1990,1990
445,,Queen of Angels,"Bear, Greg",,1990,
446,pst.000021664502,Redshift Rendezvous,"Stith, John E.","Redshift rendezvous/Stith, John E.",1990,1990
447,,Tehanu: The Last Book of Earthsea,Le Guin Ursula K.,,1990,
448,,The Fall of Hyperion,"Simmons, Dan",,1990,
449,,The Quiet Pools,"Kube-McDowell, Michael P.",,1990,
450,mdp.39015056469367,The vor game,"Bujold, Lois McMaster,","The vor game/Bujold, Lois McMaster.",1990,1990
451,,White Jenna,"Yolen, Jane",,1990,
452,,All the Weyrs of Pern,"McCaffrey, Anne",,1991,
453,mdp.39015056223574,Barrayar,"Bujold, Lois McMaster","Barrayar/Bujold, Lois McMaster.",1991,1991
454,,Bone Dance,"Bull, Emma",,1991,
455,,Orbital Resonance,"Barnes, John",,1991,
456,uc1.32106015381764,Stations of the Tide,"Swanwick, Michael","Stations of the tide/Swanwick, Michael",1991,1992
457,uc1.32106017218352,Synners,"Cadigan, Pat","Synners/Cadigan, Pat,",1991,1991
458,,The Difference Engine,"Sterling, Bruce, Gibson, William",,1991,
459,,The Summer Queen,"Vinge, Joan D.",,1991,
460,,Xenocide,"Card, Orson Scott",,1991,
461,,A Fire Upon the Deep,"Vinge, Vernor",,1992,
462,,A Million Open Doors,"Barnes, John",,1992,
463,,Briar Rose,"Yolen, Jane",,1992,
464,,China Mountain Zhang,"McHugh, Maureen F.",,1992,
465,mdp.39015029453845,Crystal line,"McCaffrey, Anne,","Crystal line/McCaffrey, Anne.",1992,1992
466,,Doomsday Book,"Willis, Connie",,1992,
467,None,Red Mars,"Robinson, Kim Stanley",,1992,
468,uc1.32106017384022,Sarah Canary,"Fowler, Karen Joy","Sarah Canary/Fowler, Karen Joy",1992,1998
469,uc1.32106010189048,Steel beach,"Varley, John,","Steel beach/Varley, John,",1992,1992
470,pst.000021518379,The California voodoo game,"Niven, Larry,","The California voodoo game/Niven, Larry.",1992,
471,,Assemblers of Infinity,"Anderson, Kevin J., Beason, Doug",,1993,
472,,Beggars in Spain,"Kress, Nancy",,1993,
473,mdp.49015001409755,Forward the foundation,"Asimov, Isaac,","Forward the foundation/Asimov, Isaac,",1993,1993
474,,Glory Season,"Brin, David",,1993,
475,,Green Mars,"Robinson, Kim Stanley",,1993,
476,,Hard Landing,"Budrys, Algis",,1993,
477,,Moving Mars,"Bear, Greg",,1993,
478,,Nightside the Long Sun,"Wolfe, Gene",,1993,
479,mdp.39015062115905,Virtual Light,"Gibson, William","Virtual light/Gibson, William,",1993,1993
480,,A Night in the Lonesome October,"Zelazny, Roger",,1994,
481,,Beggars and Choosers,"Kress, Nancy",,1994,
482,mdp.49015002042985,Brittle Innings,"Bishop, Michael","Brittle innings/Bishop, Michael,",1994,1994
483,mdp.39015033989818,Furious gulf,"Benford, Gregory,","Furious gulf/Benford, Gregory,",1994,1994
484,,"Gun, with Occasional Music","Lethem, Jonathan",,1994,
485,mdp.39015032813472,Hot sky at midnight,"Silverberg, Robert,","Hot sky at midnight/Silverberg, Robert.",1994,1994
486,mdp.39015056268603,Mirror Dance,"Bujold, Lois McMaster","Mirror dance/Bujold, Lois McMaster.",1994,1995
487,,Mother of Storms,"Barnes, John",,1994,
488,None,Parable of the Sower,"Butler, Octavia E.",,1994,
489,,Temporary Agency,"Pollack, Rachel",,1994,
490,mdp.49015002772946,The courtship of Princess Leia,"Wolverton, Dave,","The courtship of Princess Leia/Wolverton, Dave.",1994,1994
491,,Towing Jehovah,"Morrow, James K.",,1994,
492,,Brightness Reef,"Brin, David",,1995,
493,,Calde of the Long Sun,"Wolfe, Gene",,1995,
494,uc2.ark:/13960/t0ms3mm7b,Celestis,"Park, Paul","A descriptive catalogue of the Chinese collection, now exhibiting  at St. George's Place, Hyde Park Corner, London, with condensed accounts of the genius, government, history, literature, agriculture, arts, trade, manners, customs and social life of the people of the celestial empire/Langdon, William B.",1995,1842
495,mdp.39015034223597,Children of the Jedi,"Hambly, Barbara,","Children of the Jedi/Hambly, Barbara.",1995,1995
496,mdp.39015034512692,Darksaber,"Anderson, Kevin J.","Darksaber/Anderson, Kevin J.,",1995,1995
497,uc1.b3607433,Metropolitan,"Williams, Walter Jon","Suburban differences and metropolitan policies;/Williams, Oliver P.",1995,1965
498,,Remake,"Willis, Connie",,1995,
499,mdp.39015057976790,The Diamond Age,"Stephenson, Neal","The diamond age,[or, Young lady's illustrated primer]/Stephenson, Neal.",1995,1995
500,,The Terminal Experiment (also known as Hobson's Choice),"Sawyer, Robert J.",,1995,
501,,The Time Ships,"Baxter, Stephen",,1995,
502,,Blue Mars,"Robinson, Kim Stanley",,1996,
503,,Expiration Date,"Powers, Tim",,1996,
504,uc1.32106016178466,Holy Fire,"Sterling, Bruce","Holy fire/Sterling, Bruce",1996,1997
505,,Memory,"Bujold, Lois McMaster",,1996,
506,,Remnant Population,"Moon, Elizabeth",,1996,
507,,Slow River,"Griffith, Nicola",,1996,
508,None,Starplex,"Sawyer, Robert J.",,1996,
509,,The Silent Strength of Stones,"Hoffman, Nina Kiriki",,1996,
510,,Winter Rose,"McKillip, Patricia A.",,1996,
511,mdp.39015050507618,A Game of Thrones,"Martin, George R. R.","A game of thrones/Martin, George R. R.",1997,1996
512,,Ancient Shores,"McDevitt, Jack",,1997,
513,,Bellwether,"Willis, Connie",,1997,
514,uc1.32106013799322,City on Fire,"Williams, Walter Jon","City on fire/Williams, Walter Jon",1997,1997
515,uc1.32106018321726,Forever Peace,"Haldeman, Joe","Forever peace/Haldeman, Joe W",1997,1997
516,,Frameshift,"Sawyer, Robert J.",,1997,
517,,Jack Faust,"Swanwick, Michael",,1997,
518,,King's Dragon,"Elliott, Kate",,1997,
519,uc1.32106014065673,The Moon and the Sun,"McIntyre, Vonda N.","The moon and the sun/McIntyre, Vonda N",1997,1997
520,mdp.39015047866861,The Rise of Endymion,"Simmons, Dan","The rise of Endymion/Simmons, Dan,",1997,1997
521,mdp.39015041745277,Toward the end of time,"Updike, John,","Toward the end of time/Updike, John.",1997,1997
522,mdp.39015047717866,Brown girl in the ring,"Hopkinson, Nalo,","Brown girl in the ring/Hopkinson, Nalo.",1998,1998
523,mdp.39015047519965,Children of God,"Russell, Mary Doria","Children of God/Russell, Mary Doria,",1998,1998
524,,Darwinia,"Wilson, Robert Charles",,1998,
525,mdp.39076005405969,Distraction,"Sterling, Bruce","Distractions of peace during war/Kernek, Sterling J.",1998,1975
526,,Factoring Humanity,"Sawyer, Robert J.",,1998,
527,,How Few Remain,"Turtledove, Harry",,1998,
528,,Moonfall,"McDevitt, Jack",,1998,
529,,The Death of the Necromancer,"Wells, Martha",,1998,
530,None,The Last Hawk,"Asaro, Catherine",,1998,
531,,To Say Nothing of the Dog,"Willis, Connie",,1998,
532,mdp.39015045681882,Vision of the future,"Zahn, Timothy,","Vision of the future/Zahn, Timothy.",1998,1998
533,,A Civil Campaign,"Bujold, Lois McMaster",,1999,
534,mdp.39015046463629,A Clash of Kings,"Martin, George R. R.","A clash of kings/Martin, George R. R.",1999,1999
535,,A Deepness in the Sky,"Vinge, Vernor",,1999,
536,None,Cryptonomicon,"Stephenson, Neal",,1999,
537,,Darwin's Radio,"Bear, Greg",,1999,
538,,Harry Potter and the Prisoner of Azkaban,"Rowling, J. K.",,1999,
539,,Mission Child,"McHugh, Maureen F.",,1999,
540,,Parable of the Talents,"Butler, Octavia E.",,1999,
541,,The Cassini Division,"MacLeod, Ken",,1999,
542,mdp.39015054065951,Timeline,"Crichton, Michael,","Timeline/Crichton, Michael,",1999,1999
543,mdp.39015054095784,A Storm of Swords,"Martin, George R. R.","A storm of swords/Martin, George R. R.",2000,2000
544,,Calculating God,"Sawyer, Robert J.",,2000,
545,,Crescent City Rhapsody,"Goonan, Kathleen Ann",,2000,
546,,Forests of the Heart,"Lint, Charles de",,2000,
547,,Harry Potter and the Goblet of Fire,"Rowling, J. K.",,2000,
548,,Infinity Beach,"McDevitt, Jack",,2000,
549,,Midnight Robber,"Hopkinson, Nalo",,2000,
550,,The Sky Road,"MacLeod, Ken",,2000,
551,None,American Gods,"Gaiman, Neil",,2001,
552,,Cosmonaut Keep,"MacLeod, Ken",,2001,
553,,Declare,"Powers, Tim","The Tehran conference, the three-power declaration concerning Iran, December 1943",2001,1945
554,,Eternity's End,"Carver, Jeffrey",,2001,
555,,Mars Crossing,"Landis, Geoffrey A.",,2001,
556,mdp.39015053767052,Passage,"Willis, Connie","Passage/Willis, Connie.",2001,2001
557,,Perdido Street Station,"Miville, China",,2001,
558,,The Chronoliths,"Wilson, Robert Charles",,2001,
559,mdp.39015049524674,The Collapsium,"McCarthy, Wil","The collapsium/McCarthy, Wil.",2001,2000
560,,The Curse of Chalion,"Bujold, Lois McMaster",,2001,
561,,The Quantum Rose,"Asaro, Catherine",,2001,
562,,The Tower at Stony Wood,"McKillip, Patricia A.",,2001,
563,,Bones of the Earth,"Swanwick, Michael",,2002,
564,None,Hominids,"Sawyer, Robert J.",,2002,
565,,Kiln People (also known as Kil'n People),"Brin, David",,2002,
566,,Picoverse,"Metzger, Robert A.",,2002,
567,,Solitaire,"Eskridge, Kelley",,2002,
568,mdp.39015053391911,The Other Wind,Le Guin Ursula K.,"The other wind/Le Guin, Ursula K.,",2002,2001
569,,The Scar,"Miville, China",,2002,
570,mdp.39015054285773,The Years of Rice and Salt,"Robinson, Kim Stanley","The years of rice and salt/Robinson, Kim Stanley.",2002,2002
571,mdp.39015059964455,Blind Lake,"Wilson, Robert Charles","Blind Lake/Wilson, Robert Charles,",2003,2003
572,,Chindi,"McDevitt, Jack",,2003,
573,,Diplomatic Immunity,"Bujold, Lois McMaster",,2003,
574,uc1.c2778550,Humans,"Sawyer, Robert J.","Mechanisms of the host cell effect on human immunodeficiency virus Type 1/Sawyer, Lynette Susan Walker.",2003,1996
575,,Ilium,"Simmons, Dan",,2003,
576,,Light Music,"Goonan, Kathleen Ann",,2003,
577,,Paladin of Souls,"Bujold, Lois McMaster",,2003,
578,,Singularity Sky,"Stross, Charles",,2003,
579,mdp.39015056248365,The Mount,"Emshwiller, Carol","The mount/Emshwiller, Carol.",2003,2002
580,None,Oryx and Crake,"Atwood, Margaret",,2003,
581,,The Salt Roads,"Hopkinson, Nalo",,2003,
582,,The Speed of Dark,"Moon, Elizabeth",,2003,
583,,Cloud Atlas,"Mitchell, David",,2004,
584,,Down and Out in the Magic Kingdom,"Doctorow, Cory",,2004,
585,,Iron Council,"Miville, China",,2004,
586,,Iron Sunrise,"Stross, Charles",,2004,
587,,Jonathan Strange & Mr Norrell,"Clarke, Susanna",,2004,
588,mdp.39015058239735,Omega,"McDevitt, Jack","Omega/McDevitt, Jack.",2004,2003
589,,Perfect Circle,"Stewart, Sean",,2004,
590,,River of Gods,"McDonald, Ian",,2004,
591,None,The Algebraist,"Banks, Iain M.",,2004,
592,uc1.$b699600,The Knight,"Wolfe, Gene","The silent knight/Wolfe, Humbert,",2004,1937
593,,A Feast for Crows,"Martin, George R. R.",,2005,
594,,Accelerando,"Stross, Charles",,2005,
595,,Air,"Ryman, Geoff",,2005,
596,mdp.39015058795439,Camouflage,"Haldeman, Joe","Camouflage/Haldeman, Joe W.",2005,2004
597,inu.30000107441606,Going Postal,"Pratchett, Terry","Terry Pratchett Going postal/Briggs, Stephen,",2005,2005
598,,Learning the World,"MacLeod, Ken",,2005,
599,,Old Man's War,"Scalzi, John",,2005,
600,,Orphans of Chaos,"Wright, John C.",,2005,
601,,Polaris,"McDevitt, Jack",,2005,
602,uc1.c2936068,Spin,"Wilson, Robert Charles","Coherent transient microwave, acoustic, and nuclear interactions in electron spin resonance/Wilson, Robert John.",2005,1982
603,,Blindsight,"Watts, Peter",,2006,
604,,Eifelheim,"Flynn, Michael F.",,2006,
605,,Farthing,"Walton, Jo",,2006,
606,,From the Files of the Time Rangers,"Bowes, Richard",,2006,
607,None,Glasshouse,"Stross, Charles",,2006,
608,,His Majesty's Dragon,"Novik, Naomi",,2006,
609,,Rainbows End,"Vinge, Vernor",,2006,
610,,Seeker,"McDevitt, Jack",,2006,
611,,The Girl in the Glass,"Ford, Jeffrey",,2006,
612,,The Privilege of the Sword,"Kushner, Ellen",,2006,
613,None,To Crush the Moon,"McCarthy, Wil",,2006,
614,None,The Road,"McCarthy, Cormac",,2006,
615,,Brasyl,"McDonald, Ian",,2007,
616,,Halting State,"Stross, Charles",,2007,
617,,Odyssey,"McDevitt, Jack",,2007,
618,,Ragamuffin,"Buckell, Tobias S.",,2007,
619,,Rollback,"Sawyer, Robert J.",,2007,
620,,The Accidental Time Machine,"Haldeman, Joe",,2007,
621,,The Last Colony,"Scalzi, John",,2007,
622,,The New Moon's Arms,"Hopkinson, Nalo",,2007,
623,,The Yiddish Policemen's Union,"Chabon, Michael",,2007,
624,,Anathem,"Stephenson, Neal",,2008,
625,,Cauldron,"McDevitt, Jack",,2008,
626,,Little Brother,"Doctorow, Cory",,2008,
627,mdp.39015066900765,Making Money,"Pratchett, Terry","Making money/Pratchett, Terry.",2008,2007
628,,Powers,Le Guin Ursula K.,,2008,
629,mdp.39015082679633,Saturn's Children,"Stross, Charles","Saturn's children/Stross, Charles.",2008,2008
630,mdp.39015077638909,Superpowers,"Schwartz, David J.","Superpowers/(David John), Schwartz, David J.",2008,2008
631,,The Graveyard Book,"Gaiman, Neil",,2008,
632,,Zoe's Tale,"Scalzi, John",,2008,
633,,Boneshaker,"Priest, Cherie",,2009,
634,,Finch,"VanderMeer, Jeff",,2009,
635,,Flesh and Fire,"Gilman, Laura Anne",,2009,
636,,Julian Comstock: A Story of 22nd-Century America,"Wilson, Robert Charles",,2009,
637,,Palimpsest,"Valente, Catherynne M.",,2009,
638,None,The City & the City,"Mieville, China",,2009,
639,mdp.39015082695852,The Love We Share Without Knowing,"Barzak, Christopher","The love we share without knowing/Barzak, Christopher.",2009,2008
640,pst.000067168613,The Windup Girl,"Bacigalupi, Paolo","The windup girl/Bacigalupi, Paolo.",2009,2009
641,,Wake,"Sawyer, Robert J.","Subsonic and transonic pressure distributions around a bluff afterbody in the wake of a 120⁰ cone for various separation distances/Sawyer, James Wayne.",2009,1971
642,,Blackout/All Clear,"Willis, Connie",,2010,
643,None,Cryoburn,"Bujold, Lois McMaster",,2010,
644,,Echo,"McDevitt, Jack",,2010,
645,,Feed,"Grant, Mira","List of Netherlands dollar import licenses granted during August and September 1950, for food, feed and fertilizer",2010,1950
646,,Shades of Milk and Honey,"Kowal, Mary Robinette",,2010,
647,,The Dervish House,"McDonald, Ian",,2010,
648,,The Hundred Thousand Kingdoms,"Jemisin, N. K.",,2010,
